halfLetter,frequency,probability
न्,209350,0.05865870914414604
स्,440913,0.12354137771613499
क्,403973,0.11319099455021785
र्,613501,0.17189957830734529
ब्,61888,0.01734067442805307
ल्,210124,0.05887557965227868
ज्,78253,0.021926056683338236
फ्,66859,0.018733521063618152
ख्,55287,0.015491110830916656
प्,306980,0.08601409378108407
म्,70311,0.019700752322111544
ग्,105114,0.02945235993779683
त्,318835,0.08933579904453691
द्,132309,0.037072248140209305
ट्,145921,0.040886255061012344
व्,36305,0.010172459687022795
च्,54314,0.015218481626248616
श्,98388,0.02756777203379145
ड्,25553,0.007159808907381723
ष्,69282,0.01941243222796621
ध्,44122,0.012362739741380519
भ्,5482,0.0015360260020454196
झ्,44,1.2328556017876406e-05
ण्,1797,0.0005035094355482705
थ्,6384,0.0017887614004118858
ह्,4693,0.0013149525770884995
य्,924,0.0002588996763754045
घ्,933,0.00026142142646997014
ठ्,410,0.00011487972653021196
ू्,60,1.681166729710419e-05
ि्,287,8.041580857114837e-05
ढ्,26,7.2850558287451495e-06
ु्,160,4.483111279227784e-05
ै्,31,8.686028103503832e-06
ञ्,21,5.8840835539864665e-06
छ्,37,1.036719483321425e-05
े्,26,7.2850558287451495e-06
उ्,12,3.362333459420838e-06
ी्,20,5.60388909903473e-06
ृ्,18,5.043500189131257e-06
ङ्,3,8.405833648552095e-07
