monogram,frequency,probability
क,7039975.0,0.0765216894705553
ख,526378.0,0.0057215166048362335
ग,1475240.0,0.01603526392842901
घ,131117.0,0.0014251889187547968
ङ,3.0,3.260879028855442e-08
च,742881.0,0.008074816912783866
छ,197057.0,0.002141930129297223
ज,1737960.0,0.018890924389965348
झ,62604.0,0.0006804802357415537
ञ,9805.0,0.00010657639625975871
ट,1098776.0,0.011943252052698892
ठ,117587.0,0.0012781232745534164
ड,712795.0,0.007747794224576717
ढ,64938.0,0.000705849874586049
ण,162517.0,0.001766494257108333
त,2662382.0,0.028939018768674035
थ,568071.0,0.0061747027026698
द,1942761.0,0.021117028676594093
ध,388430.0,0.004222077470594398
न,4066421.0,0.04420035653799126
प,2361817.0,0.02567199841764758
फ,575325.0,0.006253550757587525
ब,1760163.0,0.01913226204689094
भ,615180.0,0.00668675853657097
म,3329243.0,0.036187528935545936
य,2042624.0,0.022202499218122732
र,6365859.0,0.06919432037916892
ल,3057701.0,0.033235976891367716
व,1615568.0,0.01756057270296643
श,882564.0,0.00959311479740925
ष,266273.0,0.002894280138834751
स,3965433.0,0.043102657700104414
ह,3673090.0,0.039925007173662125
ा,8438871.0,0.09172712490372119
ि,3773724.0,0.04101885817429492
ी,4446409.0,0.04833067287271366
ु,1370529.0,0.01489709758179407
ू,605709.0,0.006583812585630004
े,6623931.0,0.07199945895495154
ै,1392618.0,0.015137196104688696
ो,2695210.0,0.029295845891204923
ौ,206216.0,0.00224148476604818
ं,3806982.0,0.04138035922343383
ः,5966.0,6.48480142871719e-05
ँ,1103.0,1.1989165229425177e-05
ृ,44296.0,0.00048147965820726895
अ,679225.0,0.007382901861247793
आ,610429.0,0.006635117082350663
इ,621465.0,0.0067550739522254915
ई,428339.0,0.004655872207803038
उ,496946.0,0.005401602632911989
ऊ,17432.0,0.0001894788107700269
ए,932677.0,0.010137822899986024
ऐ,63664.0,0.0006920020083101763
ओ,91905.0,0.0009989702904898649
औ,378108.0,0.004109881492808246
अं,45532.0,0.0004949144798061533
अः,0.0,0.0
ऋ,3909.0,4.2489253745986414e-05
